Name;Size;"First name";"Last name";Downloads;Date;Path
Data-Cross.xls;158720;Xiaohua;Yu;10;"25.10.2023 12:43";Data-Cross.xls
Data-Panel.csv;65169;Xiaohua;Yu;8;"25.10.2023 12:43";Data-Panel.csv
Discrete_Cake.xls;82944;Xiaohua;Yu;8;"25.10.2023 12:43";Discrete_Cake.xls
FADNPublicReport_081117223259.xlsx;20197002;Xiaohua;Yu;10;"25.10.2023 12:43";FADNPublicReport_081117223259.xlsx
"Machine Learning in Food Economics and Agribusiness-Syllabus.docx";21745;Xiaohua;Yu;12;"25.10.2023 12:38";"Machine Learning in Food Economics and Agribusiness-Syllabus.docx"
